,orth,base,ctag,sentence
22577,Gienia,Gienio,subst:sg:acc:m1,1365
22578,i,i,conj,1365
22579,dwie,dwa,num:pl:acc:f:congr,1365
22580,córki,córka,subst:pl:acc:f,1365
22581,(,(,interp,1365
22582,odpowiedniki,odpowiednik,subst:pl:acc:m3,1365
22583,Zbyszka,Zbyszek,subst:sg:gen:m1,1365
22584,",",",",interp,1365
22585,Hesi,Hesia,subst:sg:gen:f,1365
22586,i,i,conj,1365
22587,Meli,Mela,subst:sg:gen:f,1365
22588,Dulskich,Dulski,subst:pl:gen:m1,1365
22589,),),interp,1365
22590,.,.,interp,1365
22591,Miał,mieć,praet:sg:m1:imperf,1366
22592,jedną,jeden,adj:sg:acc:f:pos,1366
22593,córkę,córka,subst:sg:acc:f,1366
22594,oraz,oraz,conj,1366
22595,czterech,cztery,num:pl:acc:m1:rec,1366
22596,synów,syn,subst:pl:gen:m1,1366
22597,.,.,interp,1366
22598,3,3,adj:sg:nom:n:pos,1367
22599,.,.,interp,1367
22600,Ulica,ulica,subst:sg:nom:f,1367
22601,Andrzeja,Andrzej,subst:sg:gen:m1,1367
22602,Gołąba,Gołąb,subst:sg:gen:m1,1367
22603,jest,być,fin:sg:ter:imperf,1367
22604,na,na,prep:loc,1367
22605,planie,plan,subst:sg:loc:m3,1367
22606,Lwowa,Lwów,subst:sg:gen:m3,1367
22607,(,(,interp,1367
22608,tzw,tak_zwany,brev:pun,1367
22609,.,.,interp,1367
22610,plan,plan,subst:sg:nom:m3,1367
22611,Horbaya,Horbay,subst:sg:gen:m1,1367
22612,),),interp,1367
22613,obowiązującym,obowiązywać,pact:sg:loc:m3:imperf:aff,1367
22614,do,do,prep:gen,1367
22615,1939,1939,adj:sg:gen:m3:pos,1367
22616,r,rok,brev:pun,1367
22617,.,.,interp,1367
22618,",",",",interp,1367
22619,a,a,conj,1367
22620,nie,nie,qub,1367
22621,-,-,interp,1367
22622,jak,jak,adv:pos,1367
22623,pisze,pisać,fin:sg:ter:imperf,1367
22624,Mazan,Mazan,subst:sg:nom:m1,1367
22625,-,-,interp,1367
22626,"""","""",interp,1367
22627,przed,przed,prep:inst:nwok,1367
22628,pierwszą,pierwszy,adj:sg:inst:f:pos,1367
22629,wojną,wojna,subst:sg:inst:f,1367
22630,"""","""",interp,1367
22631,.,.,interp,1367
22632,Każdy,każdy,adj:sg:nom:m1:pos,1368
22633,z,z,prep:gen:nwok,1368
22634,nas,my,ppron12:pl:gen:m1:pri,1368
22635,musi,musieć,fin:sg:ter:imperf,1368
22636,zastanowić,zastanowić,inf:perf,1368
22637,się,się,qub,1368
22638,najpierw,najpierw,adv,1368
22639,",",",",interp,1368
22640,kim,kto,subst:sg:inst:m1,1368
22641,chce,chcieć,fin:sg:ter:imperf,1368
22642,być,być,inf:imperf,1368
22643,",",",",interp,1368
22644,co,co,subst:sg:acc:n,1368
22645,robić,robić,inf:imperf,1368
22646,",",",",interp,1368
22647,do,do,prep:gen,1368
22648,czego,co,subst:sg:gen:n,1368
22649,podążać,podążać,inf:imperf,1368
22650,",",",",interp,1368
22651,czego,co,subst:sg:gen:n,1368
22652,pragnąć,pragnąć,inf:imperf,1368
22653,-,-,interp,1368
22654,dopiero,dopiero,qub,1368
22655,wtedy,wtedy,adv,1368
22656,będziemy,być,bedzie:pl:pri:imperf,1368
22657,w,w,prep:loc:nwok,1368
22658,stanie,stan,subst:sg:loc:m3,1368
22659,zapanować,zapanować,inf:perf,1368
22660,nad,nad,prep:inst:nwok,1368
22661,umysłem,umysł,subst:sg:inst:m3,1368
22662,",",",",interp,1368
22663,który,który,adj:sg:nom:m3:pos,1368
22664,da,dać,fin:sg:ter:perf,1368
22665,nam,my,ppron12:pl:dat:m1:pri,1368
22666,wszystko,wszystko,subst:sg:acc:n,1368
22667,to,ten,adj:sg:acc:n:pos,1368
22668,",",",",interp,1368
22669,czego,co,subst:sg:gen:n,1368
22670,pragniemy,pragnąć,fin:pl:pri:imperf,1368
22671,.,.,interp,1368
22672,Jeśli,jeśli,comp,1369
22673,chcesz,chcieć,fin:sg:sec:imperf,1369
22674,zmienić,zmienić,inf:perf,1369
22675,świat,świat,subst:sg:acc:m3,1369
22676,zewnętrzny,zewnętrzny,adj:sg:acc:m3:pos,1369
22677,",",",",interp,1369
22678,czyli,czyli,conj,1369
22679,świat,świat,subst:sg:acc:m3,1369
22680,",",",",interp,1369
22681,w,w,prep:loc:nwok,1369
22682,którym,który,adj:sg:loc:m3:pos,1369
22683,żyjesz,żyć,fin:sg:sec:imperf,1369
22684,",",",",interp,1369
22685,musisz,musieć,fin:sg:sec:imperf,1369
22686,dowiedzieć,dowiedzieć,inf:perf,1369
22687,się,się,qub,1369
22688,",",",",interp,1369
22689,CZEGO,co,subst:sg:gen:n,1369
22690,PRAGNIESZ,pragnąć,fin:sg:sec:imperf,1369
22691,",",",",interp,1369
22692,a,a,conj,1369
22693,później,późno,adv:com,1369
22694,zobaczyć,zobaczyć,inf:perf,1369
22695,to,to,subst:sg:acc:n,1369
22696,oczami,oko,subst:pl:inst:n,1369
22697,wyobraźni,wyobraźnia,subst:sg:gen:f,1369
22698,.,.,interp,1369
22699,Jeżeli,jeżeli,comp,1370
22700,będziesz,być,bedzie:sg:sec:imperf,1370
22701,bardzo,bardzo,adv:pos,1370
22702,często,często,adv:pos,1370
22703,myślał,myśleć,praet:sg:m1:imperf,1370
22704,o,o,prep:loc,1370
22705,swoich,swój,adj:pl:loc:n:pos,1370
22706,pragnieniach,pragnienie,subst:pl:loc:n,1370
22707,",",",",interp,1370
22708,celach,cel,subst:pl:loc:m3,1370
22709,",",",",interp,1370
22710,do,do,prep:gen,1370
22711,których,który,adj:pl:gen:m3:pos,1370
22712,dążysz,dążyć,fin:sg:sec:imperf,1370
22713,-,-,interp,1370
22714,zostanie,zostać,fin:sg:ter:perf,1370
22715,to,to,subst:sg:nom:n,1370
22716,"""","""",interp,1370
22717,odciśnięte,odcisnąć,ppas:sg:nom:n:perf:aff,1370
22718,"""","""",interp,1370
22719,w,w,prep:loc:nwok,1370
22720,Twoim,twój,adj:sg:loc:m3:pos,1370
22721,twórczym,twórczy,adj:sg:loc:m3:pos,1370
22722,umyśle,umysł,subst:sg:loc:m3,1370
22723,i,i,conj,1370
22724,będzie,być,bedzie:sg:ter:imperf,1370
22725,początkiem,początek,subst:sg:inst:m3,1370
22726,procesu,proces,subst:sg:gen:m3,1370
22727,tworzenia,tworzyć,ger:sg:gen:n:imperf:aff,1370
22728,.,.,interp,1370
22729,By,by,comp,1371
22730,zacząć,zacząć,inf:perf,1371
22731,zastanawiać,zastanawiać,inf:imperf,1371
22732,się,się,qub,1371
22733,nad,nad,prep:inst:nwok,1371
22734,tym,to,subst:sg:inst:n,1371
22735,",",",",interp,1371
22736,czego,co,subst:sg:gen:n,1371
22737,pragniesz,pragnąć,fin:sg:sec:imperf,1371
22738,",",",",interp,1371
22739,nie,nie,qub,1371
22740,potrzebujesz,potrzebować,fin:sg:sec:imperf,1371
22741,niczego,nic,subst:sg:gen:n,1371
22742,.,.,interp,1371
22743,-,-,interp,1372
22744,Jak,jak,adv:pos,1372
22745,patrzą,patrzeć,fin:pl:ter:imperf,1372
22746,na,na,prep:acc,1372
22747,wasze,wasz,adj:sg:acc:n:pos,1372
22748,upodobanie,upodobanie,subst:sg:acc:n,1372
22749,sportowe,sportowy,adj:sg:acc:n:pos,1372
22750,koledzy,kolega,subst:pl:nom:m1,1372
22751,z,z,prep:gen:nwok,1372
22752,klubu,klub,subst:sg:gen:m3,1372
22753,",",",",interp,1372
22754,koleżanki,koleżanka,subst:pl:nom:f,1372
22755,w,w,prep:loc:nwok,1372
22756,szkole,szkoła,subst:sg:loc:f,1372
22757,i,i,conj,1372
22758,nauczyciele,nauczyciel,subst:pl:nom:m1,1372
22759,",",",",interp,1372
22760,nie,nie,qub,1372
22761,mówiąc,mówić,pcon:imperf,1372
22762,już,już,qub,1372
22763,o,o,prep:loc,1372
22764,rodzicach,rodzic,subst:pl:loc:m1,1372
22765,?,?,interp,1372
22766,-,-,interp,1373
22767,Z,z,prep:inst:nwok,1373
22768,pełnym,pełny,adj:sg:inst:n:pos,1373
22769,zrozumieniem,zrozumienie,subst:sg:inst:n,1373
22770,",",",",interp,1373
22771,a,a,conj,1373
22772,nawet,nawet,qub,1373
22773,podziwem,podziw,subst:sg:inst:m3,1373
22774,.,.,interp,1373
22775,Niektóre,niektóry,adj:pl:nom:f:pos,1374
22776,z,z,prep:gen:nwok,1374
22777,koleżanek,koleżanka,subst:pl:gen:f,1374
22778,szkolnych,szkolny,adj:pl:gen:f:pos,1374
22779,nawet,nawet,qub,1374
22780,nam,my,ppron12:pl:dat:f:pri,1374
22781,zazdroszczą,zazdrościć,fin:pl:ter:imperf,1374
22782,",",",",interp,1374
22783,ale,ale,conj,1374
22784,nie,nie,qub,1374
22785,mają,mieć,fin:pl:ter:imperf,1374
22786,odwagi,odwaga,subst:sg:gen:f,1374
22787,spróbować,spróbować,inf:perf,1374
22788,swych,swój,adj:pl:gen:f:pos,1374
22789,sił,siła,subst:pl:gen:f,1374
22790,na,na,prep:loc,1374
22791,skoczni,skocznia,subst:sg:loc:f,1374
22792,narciarskiej,narciarski,adj:sg:loc:f:pos,1374
22793,.,.,interp,1374
22794,Z,z,prep:gen:nwok,1375
22795,kolei,kolej,subst:sg:gen:f,1375
22796,koledzy,kolega,subst:pl:nom:m1,1375
22797,w,w,prep:loc:nwok,1375
22798,klubie,klub,subst:sg:loc:m3,1375
22799,nie,nie,qub,1375
22800,patrzą,patrzeć,fin:pl:ter:imperf,1375
22801,na,na,prep:acc,1375
22802,nas,my,ppron12:pl:acc:f:pri,1375
22803,jak,jak,adv:pos,1375
22804,na,na,prep:acc,1375
22805,dziwolągi,dziwoląg,subst:pl:acc:m2,1375
22806,",",",",interp,1375
22807,ale,ale,conj,1375
22808,starają,starać,fin:pl:ter:imperf,1375
22809,się,się,qub,1375
22810,wykazać,wykazać,inf:perf,1375
22811,",",",",interp,1375
22812,że,że,comp,1375
22813,nie,nie,qub,1375
22814,mamy,mieć,fin:pl:pri:imperf,1375
22815,szans,szansa,subst:pl:gen:f,1375
22816,",",",",interp,1375
22817,aby,aby,comp,1375
22818,im,on,ppron3:pl:dat:m1:ter:akc:npraep,1375
22819,dorównać,dorównać,inf:perf,1375
22820,.,.,interp,1375
22821,Jeżeli,jeżeli,comp,1376
22822,chodzi,chodzić,fin:sg:ter:imperf,1376
22823,o,o,prep:acc,1376
22824,rodziców,rodzic,subst:pl:acc:m1,1376
22825,",",",",interp,1376
22826,to,to,conj,1376
22827,tolerują,tolerować,fin:pl:ter:imperf,1376
22828,nasze,nasz,adj:sg:acc:n:pos,1376
22829,hobby,hobby,subst:sg:acc:n,1376
22830,pod,pod,prep:inst:nwok,1376
22831,warunkiem,warunek,subst:sg:inst:m3,1376
22832,",",",",interp,1376
22833,że,że,comp,1376
22834,nie,nie,qub,1376
22835,odbija,odbijać,fin:sg:ter:imperf,1376
22836,się,się,qub,1376
22837,to,to,subst:sg:nom:n,1376
22838,na,na,prep:loc,1376
22839,naszych,nasz,adj:pl:loc:m3:pos,1376
22840,wynikach,wynik,subst:pl:loc:m3,1376
22841,w,w,prep:loc:nwok,1376
22842,nauce,nauka,subst:sg:loc:f,1376
22843,.,.,interp,1376
22844,Ale,ale,conj,1377
22845,z,z,prep:inst:nwok,1377
22846,tym,to,subst:sg:inst:n,1377
22847,dajemy,dawać,fin:pl:pri:imperf,1377
22848,sobie,siebie,siebie:dat,1377
22849,",",",",interp,1377
22850,w,w,prep:acc:nwok,1377
22851,miarę,miara,subst:sg:acc:f,1377
22852,dobrze,dobrze,adv:pos,1377
22853,",",",",interp,1377
22854,radę,rada,subst:sg:acc:f,1377
22855,Gdy,gdy,adv,1378
22856,tak,tak,adv:pos,1378
22857,leżę,leżeć,fin:sg:pri:imperf,1378
22858,w,w,prep:loc:nwok,1378
22859,łóżku,łóżko,subst:sg:loc:n,1378
22860,i,i,conj,1378
22861,próbuję,próbować,fin:sg:pri:imperf,1378
22862,zasnąć,zasnąć,inf:perf,1378
22863,",",",",interp,1378
22864,liczę,liczyć,fin:sg:pri:imperf,1378
22865,miarowy,miarowy,adj:sg:acc:m3:pos,1378
22866,stukot,stukot,subst:sg:acc:m3,1378
22867,kroków,krok,subst:pl:gen:m3,1378
22868,na,na,prep:loc,1378
22869,korytarzu,korytarz,subst:sg:loc:m3,1378
22870,-,-,interp,1378
22871,to,to,pred,1378
22872,pielęgniarki,pielęgniarka,subst:pl:nom:f,1378
22873,",",",",interp,1378
22874,lekarze,lekarz,subst:pl:nom:m1,1378
22875,",",",",interp,1378
22876,salowe,salowa,subst:pl:nom:f,1378
22877,.,.,interp,1378
22878,Wolnym,wolny,adj:sg:inst:m3:pos,1379
22879,krokiem,krok,subst:sg:inst:m3,1379
22880,idzie,iść,fin:sg:ter:imperf,1379
22881,tylko,tylko,qub,1379
22882,magazynierka,magazynierka,subst:sg:nom:f,1379
22883,Renata,Renata,subst:sg:nom:f,1379
22884,Biskupowa,Biskupowa,subst:sg:nom:f,1379
22885,",",",",interp,1379
22886,pracująca,pracować,pact:sg:nom:f:imperf:aff,1379
22887,tu,tu,adv,1379
22888,przeszło,przeszło,qub,1379
22889,20,20,num:pl:acc:m3:rec,1379
22890,lat,rok,subst:pl:gen:m3,1379
22891,.,.,interp,1379
22892,Wydaje,wydawać,fin:sg:ter:imperf,1380
22893,bieliznę,bielizna,subst:sg:acc:f,1380
22894,",",",",interp,1380
22895,pościelową,pościelowy,adj:sg:acc:f:pos,1380
22896,",",",",interp,1380
22897,zmienia,zmieniać,fin:sg:ter:imperf,1380
22898,poduszki,poduszka,subst:pl:acc:f,1380
22899,i,i,conj,1380
22900,koce,koc,subst:pl:acc:m3,1380
22901,",",",",interp,1380
22902,wysyła,wysyłać,fin:sg:ter:imperf,1380
22903,brudną,brudny,adj:sg:acc:f:pos,1380
22904,bieliznę,bielizna,subst:sg:acc:f,1380
22905,do,do,prep:gen,1380
22906,pralni,pralnia,subst:sg:gen:f,1380
22907,w,w,prep:loc:nwok,1380
22908,Gdyni,Gdynia,subst:sg:loc:f,1380
22909,.,.,interp,1380
22910,Czasem,czasem,adv,1381
22911,w,w,prep:loc:nwok,1381
22912,korytarzu,korytarz,subst:sg:loc:m3,1381
22913,zrywa,zrywać,fin:sg:ter:imperf,1381
22914,się,się,qub,1381
22915,nagła,nagły,adj:sg:nom:f:pos,1381
22916,bieganina,bieganina,subst:sg:nom:f,1381
22917,-,-,interp,1381
22918,znak,znak,subst:sg:nom:m3,1381
22919,",",",",interp,1381
22920,że,że,comp,1381
22921,dzieje,dziać,fin:sg:ter:imperf,1381
22922,się,się,qub,1381
22923,coś,coś,subst:sg:nom:n,1381
22924,niedobrego,niedobry,adj:sg:gen:n:pos,1381
22925,",",",",interp,1381
22926,że,że,comp,1381
22927,trzeba,trzeba,pred,1381
22928,szybkiej,szybki,adj:sg:gen:f:pos,1381
22929,interwencji,interwencja,subst:sg:gen:f,1381
22930,całego,cały,adj:sg:gen:m3:pos,1381
22931,zespołu,zespół,subst:sg:gen:m3,1381
22932,",",",",interp,1381
22933,bo,bo,comp,1381
22934,czyjeś,czyjś,adj:sg:nom:n:pos,1381
22935,życie,życie,subst:sg:nom:n,1381
22936,jest,być,fin:sg:ter:imperf,1381
22937,zagrożone,zagrozić,ppas:sg:nom:n:perf:aff,1381
22938,.,.,interp,1381
22939,Nocą,noc,subst:sg:inst:f,1382
22940,",",",",interp,1382
22941,mimo,mimo,prep:gen,1382
22942,obecności,obecność,subst:sg:gen:f,1382
22943,lekarza,lekarz,subst:sg:gen:m1,1382
22944,dyżurnego,dyżurny,adj:sg:gen:m1:pos,1382
22945,",",",",interp,1382
22946,dzwoni,dzwonić,fin:sg:ter:imperf,1382
22947,się,się,qub,1382
22948,do,do,prep:gen,1382
22949,ordynatora,ordynator,subst:sg:gen:m1,1382
22950,i,i,conj,1382
22951,dr,dr,subst:sg:nom:m1,1382
22952,Sławiński,Sławiński,subst:sg:nom:m1,1382
22953,przyjeżdża,przyjeżdżać,fin:sg:ter:imperf,1382
22954,.,.,interp,1382
22955,Interna,interna,subst:sg:nom:f,1383
22956,to,to,pred,1383
22957,największy,duży,adj:sg:nom:m3:sup,1383
22958,oddział,oddział,subst:sg:nom:m3,1383
22959,w,w,prep:loc:nwok,1383
22960,szpitalu,szpital,subst:sg:loc:m3,1383
22961,",",",",interp,1383
22962,na,na,prep:loc,1383
22963,męskim,męski,adj:sg:loc:m3:pos,1383
22964,i,i,conj,1383
22965,kobiecym,kobiecy,adj:sg:loc:m3:pos,1383
22966,oddziale,oddział,subst:sg:loc:m3,1383
22967,są,być,fin:pl:ter:imperf,1383
22968,63,63,num:pl:nom:n:congr,1383
22969,łóżka,łóżko,subst:pl:nom:n,1383
22970,.,.,interp,1383
22971,Praca,praca,subst:sg:nom:f,1384
22972,wymaga,wymagać,fin:sg:ter:imperf,1384
22973,24-godzinnego,24-godzinny,adj:sg:gen:n:pos,1384
22974,pogotowia,pogotowie,subst:sg:gen:n,1384
22975,.,.,interp,1384
22976,Na,na,prep:loc,1385
22977,etatach,etat,subst:pl:loc:m3,1385
22978,pracuje,pracować,fin:sg:ter:imperf,1385
22979,czworo,cztery,numcol:pl:nom:m1:rec,1385
22980,lekarzy,lekarz,subst:pl:gen:m1,1385
22981,",",",",interp,1385
22982,kolejnych,kolejny,adj:pl:gen:m1:pos,1385
22983,czworo,cztery,numcol:pl:nom:m1:rec,1385
22984,dochodzi,dochodzić,fin:sg:ter:imperf,1385
22985,na,na,prep:acc,1385
22986,dyżury,dyżur,subst:pl:acc:m3,1385
22987,.,.,interp,1385
22988,W,w,prep:loc:nwok,1386
22989,tej,ten,adj:sg:loc:f:pos,1386
22990,dochodzącej,dochodzić,pact:sg:loc:f:imperf:aff,1386
22991,ekipie,ekipa,subst:sg:loc:f,1386
22992,jest,być,fin:sg:ter:imperf,1386
22993,dr,dr,subst:sg:nom:f,1386
22994,Halina,Halina,subst:sg:nom:f,1386
22995,Zagórska,zagórski,adj:sg:nom:f:pos,1386
22996,",",",",interp,1386
22997,przybyła,przybyły,adj:sg:nom:f:pos,1386
22998,z,z,prep:gen:nwok,1386
22999,Kazachstanu,Kazachstan,subst:sg:gen:m3,1386
23000,",",",",interp,1386
23001,której,który,adj:sg:gen:f:pos,1386
23002,losy,los,subst:pl:nom:m3,1386
23003,warte,wart,adj:pl:nom:m3:pos,1386
23004,są,być,fin:pl:ter:imperf,1386
23005,osobnej,osobny,adj:sg:gen:f:pos,1386
23006,opowieści,opowieść,subst:sg:gen:f,1386
23007,.,.,interp,1386
23008,Personel,personel,subst:sg:nom:m3,1387
23009,medyczny,medyczny,adj:sg:nom:m3:pos,1387
23010,liczy,liczyć,fin:sg:ter:imperf,1387
23011,25,25,num:pl:acc:f:rec,1387
23012,osób,osoba,subst:pl:gen:f,1387
23013,oraz,oraz,conj,1387
23014,11,11,num:pl:acc:f:rec,1387
23015,salowych,salowa,subst:pl:gen:f,1387
23016,.,.,interp,1387
23017,Oddziałowa,oddziałowy,adj:sg:nom:f:pos,1388
23018,",",",",interp,1388
23019,pielęgniarka,pielęgniarka,subst:sg:nom:f,1388
23020,dyplomowana,dyplomowany,adj:sg:nom:f:pos,1388
23021,Jolanta,Jolanta,subst:sg:nom:f,1388
23022,Czerwińska,Czerwińska,subst:sg:nom:f,1388
23023,pracuje,pracować,fin:sg:ter:imperf,1388
23024,z,z,prep:inst:nwok,1388
23025,zegarkiem,zegarek,subst:sg:inst:m3,1388
23026,w,w,prep:loc:nwok,1388
23027,ręku,ręka,subst:pl:loc:f,1388
23028,i,i,conj,1388
23029,bez,bez,prep:gen:nwok,1388
23030,pomyłek,pomyłka,subst:pl:gen:f,1388
23031,",",",",interp,1388
23032,bo,bo,comp,1388
23033,w,w,prep:acc:nwok,1388
23034,grę,gra,subst:sg:acc:f,1388
23035,wchodzi,wchodzić,fin:sg:ter:imperf,1388
23036,życie,życie,subst:sg:nom:n,1388
23037,ludzkie,ludzki,adj:sg:nom:n:pos,1388
23038,.,.,interp,1388
23039,Góruje,górować,fin:sg:ter:imperf,1389
23040,nad,nad,prep:inst:nwok,1389
23041,innymi,inny,adj:pl:inst:f:pos,1389
23042,wzrostem,wzrost,subst:sg:inst:m3,1389
23043,",",",",interp,1389
23044,energią,energia,subst:sg:inst:f,1389
23045,i,i,conj,1389
23046,zaradnością,zaradność,subst:sg:inst:f,1389
23047,.,.,interp,1389
23048,Do,do,prep:gen,1390
23049,niej,on,ppron3:sg:gen:f:ter:akc:praep,1390
23050,należy,należeć,fin:sg:ter:imperf,1390
23051,merytoryczny,merytoryczny,adj:sg:nom:m3:pos,1390
23052,nadzór,nadzór,subst:sg:nom:m3,1390
23053,nad,nad,prep:inst:nwok,1390
23054,personelem,personel,subst:sg:inst:m3,1390
23055,oddziału,oddział,subst:sg:gen:m3,1390
23056,",",",",interp,1390
23057,prowadzenie,prowadzić,ger:sg:nom:n:imperf:aff,1390
23058,apteki,apteka,subst:sg:gen:f,1390
23059,oddziałowej,oddziałowy,adj:sg:gen:f:pos,1390
23060,",",",",interp,1390
23061,troska,troska,subst:sg:nom:f,1390
23062,o,o,prep:acc,1390
23063,higienę,higiena,subst:sg:acc:f,1390
23064,pomieszczeń,pomieszczenie,subst:pl:gen:n,1390
23065,i,i,conj,1390
23066,zgłaszanie,zgłaszać,ger:sg:nom:n:imperf:aff,1390
23067,niezbędnych,niezbędny,adj:pl:gen:m3:pos,1390
23068,remontów,remont,subst:pl:gen:m3,1390
23069,.,.,interp,1390
23070,Przy,przy,prep:loc,1391
23071,okazji,okazja,subst:sg:loc:f,1391
23072,:,:,interp,1391
23073,niedawno,niedawno,adv:pos,1391
23074,wyremontowano,wyremontować,imps:perf,1391
23075,sanitariaty,sanitariat,subst:pl:acc:m3,1391
23076,",",",",interp,1391
23077,czyste,czysty,adj:pl:nom:m3:pos,1391
23078,i,i,conj,1391
23079,piękne,piękny,adj:pl:nom:m3:pos,1391
23080,",",",",interp,1391
23081,dostosowane,dostosować,ppas:pl:nom:m3:perf:aff,1391
23082,do,do,prep:gen,1391
23083,potrzeb,potrzeb,subst:sg:nom:f,1391
23084,chorych,chory,subst:pl:gen:m1,1391
23085,",",",",interp,1391
23086,wymienione,wymienić,ppas:pl:nom:n:perf:aff,1391
23087,są,być,fin:pl:ter:imperf,1391
23088,też,też,qub,1391
23089,okna,okno,subst:pl:nom:n,1391
23090,na,na,prep:acc,1391
23091,plastikowe,plastikowy,adj:pl:acc:n:pos,1391
23092,.,.,interp,1391
23093,Gdybyż,gdybyż,comp,1392
23094,udało,udać,praet:sg:n:perf,1392
23095,się,się,qub,1392
23096,jeszcze,jeszcze,qub,1392
23097,wymienić,wymienić,inf:perf,1392
23098,stare,stary,adj:pl:acc:n:pos,1392
23099,łóżka,łóżko,subst:pl:acc:n,1392
23100,na,na,prep:acc,1392
23101,nowe,nowy,adj:pl:acc:n:pos,1392
23102,.,.,interp,1392
23103,Ostatnio,ostatnio,adv:pos,1393
23104,chore,chora,subst:pl:nom:f,1393
23105,ucieszyły,ucieszyć,praet:pl:f:perf,1393
23106,się,się,qub,1393
23107,z,z,prep:gen:nwok,1393
23108,nowej,nowy,adj:sg:gen:f:pos,1393
23109,lodówki,lodówka,subst:sg:gen:f,1393
23110,dla,dla,prep:gen,1393
23111,pacjentów,pacjent,subst:pl:gen:m1,1393
23112,.,.,interp,1393
23113,Odżywianie,odżywiać,ger:sg:nom:n:imperf:aff,1394
23114,szpitalne,szpitalny,adj:sg:nom:n:pos,1394
23115,jest,być,fin:sg:ter:imperf,1394
23116,skromniutkie,skromniutki,adj:sg:nom:n:pos,1394
23117,",",",",interp,1394
23118,ale,ale,conj,1394
23119,obiady,obiad,subst:pl:nom:m3,1394
23120,smacznie,smacznie,adv:pos,1394
23121,przyrządzone,przyrządzić,ppas:pl:nom:m3:perf:aff,1394
23122,.,.,interp,1394
23123,Musimy,musieć,fin:pl:pri:imperf,1395
23124,się,się,qub,1395
23125,jeszcze,jeszcze,qub,1395
23126,zastanowić,zastanowić,inf:perf,1395
23127,",",",",interp,1395
23128,jak,jak,adv:pos,1395
23129,pobudzić,pobudzić,inf:perf,1395
23130,do,do,prep:gen,1395
23131,ruchu,ruch,subst:sg:gen:m3,1395
23132,periodycznego,periodyczny,adj:sg:gen:m3:pos,1395
23133,ładunki,ładunek,subst:pl:acc:m3,1395
23134,elektryczne,elektryczny,adj:pl:acc:m3:pos,1395
23135,.,.,interp,1395
23136,Możemy,móc,fin:pl:pri:imperf,1396
23137,to,to,subst:sg:acc:n,1396
23138,zrobić,zrobić,inf:perf,1396
23139,w,w,prep:loc:nwok,1396
23140,obwodzie,obwód,subst:sg:loc:m3,1396
23141,elektrycznym,elektryczny,adj:sg:loc:m3:pos,1396
23142,złożonym,złożony,adj:sg:loc:m3:pos,1396
23143,z,z,prep:gen:nwok,1396
23144,kondensatora,kondensator,subst:sg:gen:m3,1396
23145,i,i,conj,1396
23146,wielozwojowej,wielozwojowy,adj:sg:gen:f:pos,1396
23147,cewki,cewka,subst:sg:gen:f,1396
23148,(,(,interp,1396
23149,rys,rysunek,brev:pun,1396
23150,.,.,interp,1396
23151,3.25a,3.25a,adj:sg:nom:m3:pos,1396
23152,),),interp,1396
23153,.,.,interp,1396
23154,Jeżeli,jeżeli,comp,1397
23155,na,na,prep:loc,1397
23156,płytkach,płytka,subst:pl:loc:f,1397
23157,kondensatora,kondensator,subst:sg:gen:m3,1397
23158,umieścimy,umieścić,fin:pl:pri:perf,1397
23159,ładunki,ładunek,subst:pl:acc:m3,1397
23160,elektryczne,elektryczny,adj:pl:acc:m3:pos,1397
23161,przeciwnych,przeciwny,adj:pl:gen:m3:pos,1397
23162,znaków,znak,subst:pl:gen:m3,1397
23163,i,i,conj,1397
23164,połączymy,połączyć,fin:pl:pri:perf,1397
23165,je,on,ppron3:pl:acc:m3:ter:akc:npraep,1397
23166,z,z,prep:inst:nwok,1397
23167,cewką,cewka,subst:sg:inst:f,1397
23168,",",",",interp,1397
23169,to,to,conj,1397
23170,w,w,prep:loc:nwok,1397
23171,obwodzie,obwód,subst:sg:loc:m3,1397
23172,zaczyna,zaczynać,fin:sg:ter:imperf,1397
23173,płynąć,płynąć,inf:imperf,1397
23174,prąd,prąd,subst:sg:nom:m3,1397
23175,(,(,interp,1397
23176,rys,rysunek,brev:pun,1397
23177,.,.,interp,1397
23178,3.25b,3.25b,adj:sg:nom:m3:pos,1397
23179,),),interp,1397
23180,.,.,interp,1397
23181,Ładunki,ładunek,subst:pl:nom:m3,1398
23182,na,na,prep:loc,1398
23183,płytkach,płytka,subst:pl:loc:f,1398
23184,maleją,maleć,fin:pl:ter:imperf,1398
23185,w,w,prep:acc:nwok,1398
23186,miarę,miara,subst:sg:acc:f,1398
23187,tego,to,subst:sg:gen:n,1398
23188,",",",",interp,1398
23189,jak,jak,adv:pos,1398
23190,przepływają,przepływać,fin:pl:ter:imperf,1398
23191,w,w,prep:loc:nwok,1398
23192,obwodzie,obwód,subst:sg:loc:m3,1398
23193,",",",",interp,1398
23194,a,a,conj,1398
23195,natężenie,natężenie,subst:sg:nom:n,1398
23196,płynącego,płynąć,pact:sg:gen:m3:imperf:aff,1398
23197,prądu,prąd,subst:sg:gen:m3,1398
23198,wzrasta,wzrastać,fin:sg:ter:imperf,1398
23199,.,.,interp,1398
23200,Wzrasta,wzrastać,fin:sg:ter:imperf,1399
23201,stopniowo,stopniowo,adv:pos,1399
23202,",",",",interp,1399
23203,gdyż,gdyż,comp,1399
23204,ten,ten,adj:sg:nom:m3:pos,1399
