,base,parts_of_speech,n_occurrences
70945,Hoobastank,?,1
70946,Paloalto,?,1
70947,revis,rzecz,1
70948,Caught,?,1
70949,Boysetsfire,?,1
70950,Raise,?,1
70951,Rifles,?,1
70952,Graeme,?,1
70953,Revell,?,1
70954,Einziger,?,1
70955,DareDevil,?,1
70956,remix,rzecz,1
70957,Simple,?,1
70958,RAD6000,?,1
70959,osiaga,?,1
70960,mips,rzecz,3
70961,ECC,?,1
70962,VxWorks,?,1
70963,Federal,?,1
70964,Pathfinder,?,1
70965,Lander,?,1
70966,Stardust,?,1
70967,MESSENGER,?,1
70968,Solar,?,1
70969,RAD750,?,1
70970,Bornholm,rzecz,1
70971,falochron,rzecz,6
70972,awanport,rzecz,3
70973,rozsuwany,przym,1
70974,Darłówko,?,2
70975,5307,rzecz,1
70976,podejściowy,?,1
70977,2420,rzecz,1
70978,statkowy,przym,1
70979,wytłumić,czas,1
70980,przeładunkowy,przym,3
70981,oczepową,?,1
70982,dorszowy,przym,1
70983,palowe,rzecz,1
70984,ostroga,rzecz,1
70985,Kotoński,?,1
70986,PWSM,?,1
70987,Klimont,?,1
70988,Jacynowej,?,1
70989,Darmstadcie,?,1
70990,Bourges,?,1
70991,Berliner,?,2
70992,Kunstlerprogramm,?,1
70993,Acad,?,1
70994,SIMC,?,1
70995,Kapuściński,rzecz,1
70996,Krupowicz,?,1
70997,Mykietyn,?,1
70998,Sielicki,?,1
70999,Leech,?,1
71000,0810,rzecz,1
71001,Quartettino,?,1
71002,passacaglia,rzecz,1
71003,quattro,?,2
71004,complesso,?,1
71005,Selection,?,2
71006,fiati,?,1
71007,timpani,?,1
71008,mikrostruktura,rzecz,1
71009,monochromia,rzecz,1
71010,battere,?,1
71011,quatre,?,1
71012,Aela,?,1
71013,aleatoryczny,przym,1
71014,Multiplay,?,1
71015,promenada,rzecz,2
71016,sirocco,rzecz,1
71017,Tlaloc,?,1
71018,Cadenze,?,1
71019,Antiphonae,?,1
71020,Bucolica,?,1
71021,Feldman,?,1
71022,gioia,?,1
71023,Tierra,?,1
71024,caliente,?,1
71025,sonant,rzecz,1
71026,puzonowy,przym,1
71027,haik,rzecz,1
71028,Mijkayo,?,1
71029,Speculum,?,1
71030,Eichendorffa,?,1
71031,Dursa,?,2
71032,Grünbeina,?,2
71033,lights,?,1
71034,Borealis,?,1
71035,amplifikować,czas,1
71036,clarinetto,?,1
71037,0799,rzecz,1
71038,Hartsfield,?,1
71039,Resnik,?,1
71040,Hawley,?,1
71041,Mullane,?,1
71042,SBS,?,1
71043,LEASAT,?,1
71044,SYNCOM,?,1
71045,OAST,?,1
71046,IMAX,?,1
71047,hugenot,rzecz,1
71048,nantejski,przym,1
71049,Königsbergu,?,1
71050,Klucka,?,1
71051,Prittwitzem,?,1
71052,Gaffronem,?,1
71053,Prittwitz,?,1
71054,Węgorapy,?,1
71055,Prittwitza,?,1
71056,Tannenbergiem,?,1
71057,lekceważący,przym,1
71058,Showalter,?,1
71059,Pierwaja,?,1
71060,Bast,?,2
71061,Boubastis,?,1
71062,Pasht,?,1
71063,Ubasti,?,1
71064,Aset,?,1
71065,skarabeusz,rzecz,1
71066,wschodzący,przym,2
71067,opiekunka,rzecz,1
71068,Ankh,?,1
71069,sistrum,?,1
71070,Maahesa,?,1
71071,Bubastis,?,4
71072,Sachmet,?,2
71073,dolnoegipski,przym,1
71074,Memfis,?,5
71075,zlinczować,czas,1
71076,Peluzjum,?,1
71077,golić,czas,2
71078,balsamować,czas,2
71079,Speos,?,1
71080,Artemidos,?,1
71081,BastetStatuette,?,1
71082,RosicrucianEgyptianMuseum.png,rzecz,1
71083,Rosicrucian,?,1
71084,Istanbul,?,1
71085,museum.JPG,rzecz,1
71086,gatta,?,1
71087,dea,?,1
71088,bronzo,?,1
71089,secolo,?,1
71090,Egizio,?,1
71091,Milano.JPG,rzecz,1
71092,Egypte,?,1
71093,louvre,?,1
71094,058.jpg,rzecz,1
71095,WLA,?,1
71096,brooklynmuseum,?,1
71097,342,rzecz,1
71098,BCE,?,1
71099,Bronze.jpg,rzecz,1
71100,Ägyptisches,?,1
71101,241.jpg,rzecz,1
71102,Omaha,?,1
71103,Episodes,?,1
71104,Eves,?,1
71105,padło,rzecz,1
71106,przedwyborczy,przym,2
71107,parafrazować,czas,2
71108,Quayle,?,1
71109,Bentsen,?,1
71110,served,?,1
71111,knew,?,1
71112,friend,?,1
71113,mine,?,1
71114,Megadeth,?,1
71115,Thurmonda,?,1
71116,Barahona,?,1
71117,Barahonensis,?,1
71118,Maguana,?,1
71119,Mamerto,?,1
71120,Rivas,?,1
71121,Leónidas,?,1
71122,Felipe,?,2
71123,Núñez,?,1
71124,Donimirski,?,1
71125,Tylicach,?,1
71126,grudziądzki,przym,1
71127,Gołanice,?,1
71128,leszczyński,przym,1
71129,Śrem,?,1
71130,Gostyń,rzecz,1
71131,uszatek,rzecz,4
71132,dobranocka,rzecz,2
71133,Pok,?,4
71134,Poka,?,3
71135,aquapark,rzecz,1
71136,Česká,?,1
71137,mincovna,?,1
71138,bimetaliczny,przym,1
71139,Pokiem,?,1
71140,nicpoń,rzecz,1
71141,tampondrukiem,?,1
71142,Algis,?,2
71143,budrys,rzecz,6
71144,Evanston,?,1
71145,Algirdas,?,1
71146,Gnome,?,1
71147,Sentry,?,1
71148,anagram,rzecz,1
71149,Michaelmas,?,1
71150,Zahraa,?,1
71151,penning,?,1
71152,łupieski,przym,1
71153,Skötkonunga,?,1
71154,1021,rzecz,1
71155,Anund,?,1
71156,Anunda,?,1
71157,Jakoba,?,1
71158,Penning,?,1
71159,pennies,?,1
71160,pfennig,?,1
71161,Svealand,?,2
71162,Götaland,?,1
71163,Gotland,?,1
71164,fyrk,?,1
71165,czworak,rzecz,1
71166,jednomarkowy,przym,1
71167,pengar,?,1
71168,Akito,?,1
71169,Watabe,?,3
71170,Kranju,?,1
71171,Beetz,?,1
71172,Tarvisio,?,1
71173,PK,rzecz,1
71174,Gundersenie,?,12
71175,Chaux,?,1
71176,Neuve,?,1
71177,Yūsuke,?,1
71178,Taihei,?,1
71179,Katō,?,1
71180,Norihito,?,1
71181,Kobayashim,?,1
71182,Ericowi,?,1
71183,Frenzlowi,?,1
71184,Stecherowi,?,1
71185,Gundresena,?,1
71186,Jasonem,?,1
71187,Bernhardowi,?,1
71188,gruber,rzecz,3
71189,Frenzel,?,1
71190,Bernhardem,?,1
71191,Oberwiesenthal,?,1
71192,Yoshito,?,2
71193,Walking,?,10
71194,cRPG,?,1
71195,Telltale,?,3
71196,Kirkmana,?,1
71197,Everetta,?,1
71198,Clementine,?,2
71199,quick,?,1
71200,konwersacja,rzecz,1
71201,dialogowy,przym,1
71202,multiplatformowy,przym,1
71203,DLC,?,3
71204,agregator,rzecz,4
71205,GameRankings,?,6
71206,Metacritic,?,6
71207,Simen,?,2
71208,Håkon,?,2
71209,Østensen,?,2
71210,Bærum,?,1
71211,Gålå,?,1
71212,Stryn,?,1
71213,Tobias,?,1
71214,Angerer,?,1
71215,Legkow,?,1
71216,Marathon,?,3
71217,Auklandem,?,1
71218,Czechrm,?,1
71219,Stanislavem,?,1
71220,Řezáčem,?,1
71221,Birkebeinerrennet,?,1
71222,Sgambeda,?,1
71223,Tartu,?,1
71224,Forstlangwasser,?,1
71225,Hofgrund,?,1
71226,krzaczyna,rzecz,2
71227,Marinha,?,1
71228,Portuguesa,?,1
71229,Cavado,?,1
71230,Zezere,?,1
71231,Yarrow,?,1
71232,Schwarzlose,?,1
71233,Barabanow,?,1
71234,М,?,1
71235,Барабанов,?,1
71236,Wtoroj,?,1
71237,mirowoj,?,1
71238,WMS,?,1
71239,Niderlandow,?,1
71240,stran,?,1
71241,Zapadnoj,?,1
71242,Jewropy,?,1
71243,Корабли,?,1
71244,Второй,?,1
71245,мировой,?,2
71246,войны,?,1
71247,ВМС,?,1
71248,Нидерландов,?,1
71249,малых,?,1
71250,стран,?,1
71251,Западной,?,1
71252,Европы,?,1
71253,Chunhong,?,1
71254,Yantai,?,1
71255,Zizhuyuan,?,1
71256,ChBN,?,1
71257,2900,rzecz,1
71258,Yongle,?,1
71259,siku,rzecz,1
71260,Quanshu,?,1
71261,Raidhi,?,3
71262,Rinia,?,1
71263,Antifashiste,?,1
71264,Thimi,?,1
71265,korçare,?,1
71266,Zako,?,1
71267,Cajupi,?,1
71268,Vitet,?,4
71269,Kasëm,?,1
71270,Ngadhenjim,?,1
71271,Telo,?,1
71272,Horizonte,?,1
71273,hapura,?,1
71274,Ymer,?,1
71275,Montatorja,?,1
71276,Lonia,rzecz,2
71277,neteve,?,1
71278,gjata,?,1
71279,Krevati,?,1
71280,Perandorit,?,1
71281,Meke,?,1
71282,Shpërthimi,?,1
71283,Lamja,?,1
71284,Shabana,?,1
71285,ecën,?,1
71286,vetë,?,1
71287,Rrugicat,?,1
71288,kërkonin,?,1
71289,diell,?,1
71290,kelner,rzecz,1
71291,baka,rzecz,3
71292,Përballimi,?,1
71293,Pllaton,?,1
71294,Bubuqi,?,1
71295,Tokë,?,3
71296,përgjakur,?,3
71297,Zonja,?,1
71298,qyteti,?,1
71299,Flamur,?,1
71300,dallgë,?,1
71301,Nostrom,?,1
71302,Monumenti,?,1
71303,Streha,?,1
71304,Liri,?,1
71305,Çarçani,?,1
71306,vinim,?,1
71307,lufta,?,1
71308,Dulia,?,1
71309,vogël,?,2
71310,Velo,?,1
71311,Shoqja,?,1
71312,fshati,?,1
71313,Sharko,?,1
71314,Sheqi,?,1
71315,dyte,?,1
71316,Duaje,?,1
71317,këmbë,?,1
71318,paharruari,?,1
71319,Vjeshte,?,1
71320,nxehte,?,1
71321,Bicaku,?,1
71322,Dasme,?,1
71323,çuditshme,?,1
71324,ganić,czas,1
71325,Meti,?,1
71326,Familja,?,1
71327,Tasi,?,1
71328,Përsëri,?,1
71329,Pranverë,?,1
71330,Njerez,?,1
71331,rryme,?,1
71332,Kubuś,rzecz,5
71333,Hefalumpy,?,2
71334,Pooh,?,1
71335,Heffalump,?,1
71336,Puchatek,rzecz,3
71337,Cummings,?,2
71338,tygrysek,rzecz,1
71339,maleństwo,rzecz,4
71340,kangurzyca,rzecz,2
71341,Sansom,?,1
71342,Cullen,?,2
71343,kłapouch,rzecz,2
71344,Brenda,?,1
71345,Blethyn,?,1
71346,Hefalump,?,3
71347,Stanger,?,1
71348,lumpka,rzecz,2
71349,Skibińska,rzecz,1
71350,czwórnóg,rzecz,1
71351,Eyman,?,1
71352,Regulski,rzecz,1
71353,Błachnio,?,1
71354,Hefalumpa,?,1
71355,kaleta,rzecz,1
71356,kominek,rzecz,1
71357,Szpinda,?,1
71358,Socha,rzecz,3
71359,Jurksztowicz,?,5
71360,repryza,rzecz,1
71361,Beauchard,?,1
71362,Nîmes,?,1
71363,L'Association,?,1
71364,autobiograficzny,przym,2
71365,poprzecinać,czas,1
71366,aplit,rzecz,1
71367,gdzieniegdzie,przys,1
71368,TCO,?,20
71369,Tjänstemännens,?,2
71370,Centralorganisation,?,2
71371,energooszczędność,rzecz,2
71372,czytelność,rzecz,1
71373,globalnie,przys,1
71374,projektor,rzecz,6
71375,sześciowartościowy,przym,1
71376,ergonomika,rzecz,1
71377,elektro,?,1
71378,recycling,rzecz,1
71379,EMAS,?,1
71380,CSR,?,1
71381,EICC,?,1
71382,SA8000,?,1
71383,VESA,?,1
71384,Boivie,?,1
71385,displays,?,1
71386,premiss,rzecz,1
71387,Forlag,?,1
71388,9185343430,rzecz,1
71389,Ferret,?,2
71390,podsłuchiwać,czas,1
71391,Wash,?,1
71392,Witham,?,1
71393,Welland,?,1
71394,Ouse,?,1
71395,Gerstenberga,?,1
71396,Rennkollektiv,?,3
71397,Eisenach,?,1
71398,Rennkolektiv,?,1
71399,DAMW,?,1
71400,resora,?,1
71401,wzdłużnie,przys,1
71402,A6SSG,?,1
71403,odpadnięcie,rzecz,1
71404,magneto,rzecz,1
71405,Barth,?,1
71406,Sachsenringu,?,1
71407,AVUS,?,1
71408,Medizinische,?,1
71409,Graz,?,2
71410,karykatura,rzecz,2
71411,Sławoj,rzecz,1
71412,Składkowski,rzecz,1
71413,prymariusz,rzecz,1
71414,łoza,rzecz,1
71415,Jerycho,rzecz,5
71416,SRBM,?,2
71417,podwykonawca,rzecz,1
71418,Sepracor,?,1
71419,Poudres,?,1
71420,Martignas,?,1
71421,Jalle,?,1
71422,jednoczłonowy,przym,2
71423,Lewant,rzecz,1
71424,lewant,rzecz,1
71425,dwuczłonowy,przym,1
71426,Topaze,?,2
71427,Palmachim,?,1
71428,Śpiewaczo,?,1
71429,chłopięco,przys,1
71430,śpiewaczy,przym,3
71431,ELWAT,?,3
71432,WAT,rzecz,1
71433,potencjometr,rzecz,1
71434,wieloobrotowy,przym,1
71435,całkować,czas,1
71436,oscyloskop,rzecz,1
71437,pisak,rzecz,1
71438,woltomierz,rzecz,1
71439,Bert,rzecz,1
71440,Helene,?,2
71441,Amalia,rzecz,1
71442,Pöcking,?,2
71443,hitleryzm,rzecz,1
71444,Fanckiem,?,1
71445,nalegać,czas,3
71446,Heilige,?,2
71447,Stürme,?,2
71448,sposobność,rzecz,1
71449,Blaue,?,3
71450,Licht,?,3
71451,oratorski,przym,1
71452,Ruttmanna,?,1
71453,Frentza,?,1
71454,asynchroniczny,przym,1
71455,Bundesarchiv,?,1
71456,Rechte,?,1
71457,karalny,przym,1
71458,sympatyzować,czas,1
71459,Nuba,?,2
71460,płetwonurek,rzecz,1
71461,Impressionen,?,2
71462,Tiefland,?,3
71463,estetyk,rzecz,2
71464,Tragödie,?,1
71465,Hause,?,1
71466,Sprung,?,1
71467,Weiße,?,1
71468,Hölle,?,1
71469,Palü,?,2
71470,Eisberg,?,1
71471,Kau,?,1
71472,Wintory,?,2
71473,Raed,?,2
71474,Sundance,?,1
71475,Gavin,?,1
71476,Sadman,?,1
71477,Epino,?,1
71478,Matalqa,?,2
71479,GigaPix,?,1
71480,Kimberli,?,1
71481,Zou,?,1
71482,ORB,?,1
71483,Prod,?,2
71484,Shaahin,?,1
71485,Cheyene,?,1
71486,Soon,?,1
71487,Guest,?,3
71488,Knuckle,?,1
71489,Draggers,?,1
71490,Ranarivelo,?,1
71491,Partners,?,1
71492,Print,?,1
71493,Ashley,?,1
71494,Beyer,?,1
71495,Upload,?,1
71496,Solet,?,1
71497,Ariescope,?,1
71498,Woelfel,?,1
71499,Acquirer,?,1
71500,Schultze,?,1
71501,Cinsay.com,rzecz,1
71502,Corner,?,1
71503,Dir,?,1
71504,Bain,?,1
71505,Yost,?,1
71506,Hubristic,?,1
71507,Handshake,?,3
71508,Weithorn,?,1
71509,Bernier,?,1
71510,Finite,?,1
71511,Leutwyler,?,1
71512,Ambush,?,1
71513,Feeney,?,1
71514,Psychic,?,1
71515,Yuletide,?,1
71516,Pickett,?,1
71517,Stoptime,?,1
71518,Celestino,?,1
71519,Visualeyes,?,1
71520,Playing,?,1
71521,Vaughan,?,1
71522,Majid,?,1
71523,Nassim,?,1
71524,Abassi,?,1
71525,Moondust,?,1
71526,Morocco,?,1
71527,Ikonoklastes,?,1
71528,Amit,?,1
71529,Gupta,?,1
71530,Engert,?,1
71531,LightWave,?,1
71532,Showdown,?,1
71533,Grief,?,1
71534,Tourist,?,1
71535,Suri,?,1
71536,Krishnamma,?,1
71537,Glazer,?,1
71538,Strangely,?,1
71539,Inverse,?,1
71540,Duggan,?,1
71541,Targeting,?,1
71542,Tarique,?,1
71543,Qayumi,?,1
71544,Photoplay,?,1
71545,Abdallah,?,1
71546,Omeish,?,1
71547,3rd,?,1
71548,Filmworks,?,1
71549,Disaster,?,1
71550,Vacationeer,?,1
71551,Nelms,?,1
71552,Derango,?,1
71553,Cutter,?,1
71554,revenue,?,1
71555,cutter,?,1
71556,Taney,?,1
71557,korsarz,rzecz,1
71558,szmugler,rzecz,1
71559,kliper,rzecz,1
71560,baltimorskich,?,1
71561,Crawforda,?,1
71562,Customs,?,2
71563,USRC,?,1
71564,Zef,?,2
71565,Serembe,?,10
71566,Cosenza,?,1
71567,Cosenzy,?,1
71568,Jeronima,?,1
71569,Dora,rzecz,1
71570,d'Istrii,?,1
71571,Pedra,?,1
71572,Camerady,?,1
71573,awanturniczy,przym,1
71574,Poesie,?,1
71575,italiane,?,1
71576,canti,?,1
71577,originali,?,1
71578,tradotti,?,1
71579,dall,?,1
71580,albanese,?,1
71581,reduce,rzecz,1
71582,soldato,?,1
71583,ballata,?,1
71584,lirica,?,1
71585,Arbri,?,1
71586,Elsie,?,1
71587,Albanian,?,2
71588,84511,rzecz,1
71589,Outline,?,1
71590,Как,?,1
71591,закалялась,?,1
71592,сталь,?,1
71593,Korczagin,?,3
71594,Donskoj,?,1
71595,Alow,?,1
71596,Naumow,?,1
71597,Maszczenko,?,1
71598,buchalteria,rzecz,1
71599,ciężarowo,?,1
71600,N2,?,1
71601,N3,?,1
71602,26000,rzecz,1
71603,11700,rzecz,1
71604,License,?,1
71605,skrzyniowy,przym,2
71606,BelAZ,?,1
71607,75710,rzecz,1
71608,626,rzecz,2
71609,BiełAZ,?,1
71610,FAW,?,1
71611,Kenworth,?,1
71612,Peterbilt,?,1
71613,Małysa,?,1
71614,Strzałkowo,rzecz,1
71615,przewieszać,czas,1
71616,brunatnoczerwony,przym,1
71617,kielichowy,przym,1
71618,masłowy,przym,1
71619,faworytka,rzecz,1
71620,Dimetoksy,?,1
71621,STP,?,1
71622,hipis,rzecz,1
71623,enteogeny,?,1
71624,Pianchi,?,7
71625,kuszyckie,?,1
71626,kuszycki,?,1
71627,Napacie,?,6
71628,kaszt,rzecz,1
71629,Pabatmy,?,1
71630,kuszyckiej,?,1
71631,Szabaka,?,1
71632,Szabataka,?,1
71633,Taharka,?,1
71634,Tanutamon,?,1
71635,Tebaidzie,?,1
71636,faraoński,przym,1
71637,dzielnicowy,rzecz,2
71638,rościć,czas,1
71639,Szepenupet,?,1
71640,Karnaku,?,4
71641,Amenardis,?,1
71642,kuszyckich,?,1
71643,Pianchiego,?,10
71644,Tefnacht,?,2
71645,damiettańskiej,?,1
71646,Sebennytos,?,2
71647,Busiris,?,1
71648,Mendes,?,1
71649,peluzyjskiej,?,1
71650,Soped,?,1
71651,Tefnachta,?,8
71652,Athribis,?,3
71653,Osorkonowi,?,1
71654,Iuputa,?,2
71655,kontrolowny,?,1
71656,Tefnachcie,?,1
71657,niezadowolny,?,1
71658,celebracja,rzecz,1
71659,Opet,?,2
71660,uprawomocnić,czas,1
71661,Nimlot,?,2
71662,Meidum,?,1
71663,dopełnić,czas,2
71664,Pefczauauibastet,?,1
71665,Osorkon,?,1
71666,Iuput,?,1
71667,Padiiset,?,1
71668,Jukanes,?,1
71669,Pianchiemu,?,1
71670,Pefczauauibasteta,?,1
71671,Osorkona,?,1
71672,Nimlota,?,2
71673,zapoczątkowywać,czas,1
71674,Kuszytów,?,2
71675,Gebel,?,1
71676,Barkal,?,1
71677,namiastnikom,?,1
71678,Puarma,?,1
71679,Lamerskeny,?,1
71680,wyslał,?,1
71681,przykazać,czas,1
71682,przyprowadzić,czas,1
71683,Ipet,?,1
71684,sut,?,1
71685,oczyście,?,1
71686,wasz,przym,1
71687,mrowie,rzecz,1
71688,skropić,czas,1
71689,ucałować,czas,1
71690,pozdrowiony,przym,2
71691,Horusie,?,1
71692,powalać,czas,3
71693,błądzić,czas,1
71694,Nennesut,?,1
71695,Horachty,?,1
71696,Kebeh,?,1
71697,wonność,rzecz,1
71698,przybytek,rzecz,2
71699,duat,?,1
71700,Benben,?,3
71701,Anchu,?,1
71702,Atuma,?,2
71703,zapieczętowywać,czas,1
71704,zlecać,czas,1
71705,skada,?,1
71706,Atumowi,?,1
71707,Chepri,?,1
71708,zdumiewający,przym,1
71709,przytłaczający,przym,1
71710,Nubijczyków,?,1
71711,konkluzja,rzecz,1
71712,prostolinijny,przym,1
71713,Hyksosi,?,1
71714,Libijczyk,rzecz,1
71715,Hyksosów,?,1
71716,Napaty,?,3
71717,Kurru,?,1
71718,02426,rzecz,1
71719,Černý,?,1
71720,psychotrio,rzecz,2
71721,chacruna,?,1
71722,marzanowate,rzecz,1
71723,indolowe,?,1
71724,PRINCES,?,2
71725,ewentualność,rzecz,1
71726,Kiersnowski,?,1
71727,Suchodolski,rzecz,2
71728,princepsa,?,1
71729,Benewentu,?,1
71730,Radzim,rzecz,1
71731,Gaudenty,rzecz,1
71732,Romanum,?,1
71733,italski,przym,1
71734,Kiersnowskiego,?,1
71735,zbarbaryzować,czas,3
71736,niepomylona,rzecz,1
71737,reasumować,czas,1
71738,wczesnośredniowieczny,przym,2
71739,Darmsztadt,?,1
71740,darmstadtium,?,1
71741,Ottawa,rzecz,1
71742,ununnilium,?,1
71743,Uun,?,1
71744,darmstadt,?,1
71745,darmsztad,?,1
71746,ortograficzny,przym,1
71747,darmsztadt,?,2
71748,akcelerator,rzecz,3
71749,Anksjogeniki,?,1
71750,anksjogenne,?,1
71751,anksjogeników,?,1
71752,mleczan,rzecz,1
71753,karbolina,rzecz,1
71754,fenylopropanoamin,?,1
71755,Anksjolityki,?,1
71756,Tux,?,3
71757,Racer,?,3
71758,Racera,?,3
71759,PPRacer,?,2
71760,PlanetPenguin,?,1
71761,OpenRacer,?,1
71762,używalny,przym,1
71763,Óscar,?,1
71764,PureView,?,1
71765,SIM,rzecz,1
71766,PureMotion,?,1
71767,JBL,?,1
71768,OTA,?,1
71769,Kordofanu,?,1
71770,Darfuru,?,1
71771,Abidin,?,1
71772,pra,?,2
71773,Nazli,?,1
71774,Sabri,?,1
71775,Woolwich,?,2
71776,nieudolny,przym,1
71777,nepotyczny,przym,1
71778,bogacieć,czas,1
71779,bogacić,czas,1
71780,Rommla,?,4
71781,Nasser,?,1
71782,Moneima,?,1
71783,Faridę,?,1
71784,Firjal,?,1
71785,Perretena,?,1
71786,Fauzijja,?,1
71787,Fadia,?,1
71788,Alexievitcha,?,1
71789,Orloffa,?,1
71790,Nariman,?,1
71791,Sadik,?,1
71792,Capece,?,1
71793,Minutolo,?,1
71794,Jona,?,1
71795,Mania,rzecz,2
71796,Stana,?,2
71797,Liebera,?,1
71798,hecka,rzecz,1
71799,Cinematic,?,4
71800,Downeya,?,2
71801,egzoszkielet,rzecz,1
71802,Gwyneth,?,2
71803,Paltrow,?,3
71804,Pepper,?,2
71805,Potts,?,2
71806,Terrence,?,2
71807,Rhodesa,?,1
71808,Bridges,?,2
71809,Obadiaha,?,1
71810,Stane,?,3
71811,Paramount,?,1
71812,Hasbro,?,1
71813,product,?,1
71814,placementu,?,1
71815,Downey,?,4
71816,cameo,?,1
71817,Avengers,?,17
71818,Rhodesem,?,1
71819,współwięzień,rzecz,1
71820,Yinsen,?,1
71821,wszczepiać,czas,1
71822,elektromagnes,rzecz,1
71823,szarpela,?,1
71824,zdala,?,1
71825,Yeinsen,?,2
71826,Obadiah,?,2
71827,Monger,?,1
71828,Smitrovich,?,1
71829,Faran,?,1
71830,Tahir,?,1
71831,Bibb,?,1
71832,Everhat,?,1
71833,Hogan,?,1
71834,Bulak,?,5
71835,بولاق,?,1
71836,Būlāq,?,1
71837,zamulić,czas,1
71838,osmańccy,?,1
71839,Ahram,?,1
71840,Kalousdian,?,1
71841,Ramses,?,1
71842,Cairo,?,3
71843,Sinana,?,1
71844,Illa,?,1
71845,Aliego,?,1
71846,Bulaqprzystań,?,1
71847,Wikalit,?,1
71848,Balah,?,1
71849,przeludniony,przym,1
71850,Mosque,?,1
71851,Boulak.jpg,rzecz,1
71852,Bulaku,?,2
71853,Bulaq,?,1
71854,Piri,?,2
71855,Reis.jpg,rzecz,1
71856,Reisa,?,1
71857,Tram.01.jpg,rzecz,1
71858,przystanek,rzecz,1
71859,Zr,?,2
71860,zirconium,?,1
71861,ZrSiO4,?,1
71862,baddeleit,?,1
71863,ZrO2,?,2
71864,Jöns,?,1
71865,Berzelius,?,1
71866,deflektor,rzecz,1
71867,wytłumiać,czas,1
71868,ulot,rzecz,1
71869,zircaloy,?,1
71870,Rasmussen,?,3
71871,Guffi,?,1
71872,Henning,?,1
71873,Thorsen,?,1
71874,Bahama,rzecz,1
71875,Mauritius,rzecz,1
71876,fabularno,?,1
71877,Gosnella,?,1
71878,Hank,?,2
71879,Azaria,?,2
71880,jubilatka,rzecz,1
71881,wyobcować,czas,1
71882,smerfesencja,?,1
71883,okrutnik,rzecz,1
71884,Vexy,?,2
71885,Hackusa,?,1
71886,smerfopodobne,?,1
71887,Wredkami,?,1
71888,skrzat,rzecz,2
71889,Smerfetkę,?,1
71890,Wredki,?,1
71891,Jayma,?,2
71892,Mays,?,2
71893,Winslowów,?,1
71894,Tremblay,?,2
71895,Winslow,?,3
71896,Sofía,?,1
71897,Vergara,?,1
71898,Odil,rzecz,2
71899,Gleeson,?,1
71900,Winters,?,1
71901,Cumming,?,1
71902,Gutsy,?,1
71903,Lopez,?,1
71904,Yelchin,?,1
71905,Armisen,?,1
71906,Kenan,?,1
71907,Stuhr,rzecz,1
71908,Dygant,?,1
71909,Hankus,?,1
71910,Skalski,rzecz,3
71911,śmiałek,rzecz,2
71912,osiłek,rzecz,1
71913,Plewako,?,1
71914,Borer,?,1
71915,Furczyk,?,1
71916,Kowalik,rzecz,1
71917,kowalik,rzecz,1
71918,Lewandowska,rzecz,1
71919,Ceran,?,1
71920,Evalyn,?,1
71921,Goldberg,?,1
71922,Lewinska,?,1
71923,Jonathana,?,1
71924,Wintersa,?,1
71925,królewiecki,przym,1
71926,Rakowska,rzecz,1
71927,robaczkowy,przym,1
71928,urazowo,przys,1
71929,Neurospondyliatrii,?,1
71930,niemowlęcy,przym,1
71931,Neurologiczno,?,1
71932,SFAC,?,1
71933,APB,?,2
71934,wycenić,czas,1
71935,nakierować,czas,1
71936,Certified,?,1
71937,Accountants,?,1
71938,Suberatus,?,1
71939,suberat,?,3
71940,subaeratus,?,1
71941,subaerati,?,1
71942,hypochalkos,?,1
71943,niepełnowartościowy,przym,1
71944,okładać,czas,1
71945,niskowartościowy,przym,1
71946,podmiedziowany,?,1
71947,numizmatyka,rzecz,1
71948,fourrée,?,1
71949,nadziewać,czas,1
71950,serratus,?,1
71951,zaniżyć,czas,3
71952,punicki,przym,2
71953,trazymeński,przym,1
71954,suberatów,?,2
71955,suberaty,?,1
71956,Flawiusz,rzecz,1
71957,Trajan,rzecz,1
71958,barbaricum,rzecz,1
71959,wymowny,przym,1
71960,Germania,rzecz,1
71961,serratów,?,1
71962,bigatów,?,1
71963,kwadrygatów,?,1
71964,nacinać,czas,1
71965,serratach,?,1
71966,Suberaty,?,1
71967,Serratus,?,1
71968,Suberatnaja,?,1
71969,Fengler,?,1
71970,Gierow,?,1
71971,Unger,?,1
71972,Słowarˈ,?,1
71973,numizmata,?,1
71974,Searfoss,?,1
71975,Altman,?,2
71976,Linnehan,?,1
71977,Dafydd,?,1
71978,CSA,?,1
71979,Buckey,?,1
71980,Pawelczyk,?,1
71981,Dunlap,?,1
71982,Neurolab,?,1
71983,Malewicz,?,1
71984,Chagall,rzecz,1
71985,Soutine,?,1
71986,Wassily,?,1
71987,Kandinsky,rzecz,1
71988,niepokorny,przym,2
71989,Literaturnej,?,1
71990,Gazetie,?,1
71991,RAPP,?,1
71992,marksizm,rzecz,2
71993,Łunaczarski,?,1
71994,Woronski,?,1
71995,Żdanowa,?,1
71996,niekonsekwentny,przym,1
71997,ujarzmianie,rzecz,1
71998,naturalizm,rzecz,1
71999,dekadencja,rzecz,1
72000,typowość,rzecz,6
72001,Malenkowa,?,1
72002,marksistowsko,przys,1
72003,bynajmniej,?,1
72004,powszedni,przym,2
72005,przejaskrawić,czas,1
72006,partyjność,rzecz,1
72007,Sokorskiego,?,1
72008,Artystyczno,?,1
72009,ASP,rzecz,1
72010,social,?,1
